service,region,url,revision,last_ready
codex-hq,us-east1,https://codex-hq-nsdj5qz7mq-ue.a.run.app,codex-hq-00005-486,
codex-prime,us-east1,https://codex-prime-nsdj5qz7mq-ue.a.run.app,codex-prime-00008-8tr,
credwallet,us-east1,https://credwallet-nsdj5qz7mq-ue.a.run.app,credwallet-00001-t7k,
infinity-x-swarm,us-east1,https://infinity-x-swarm-nsdj5qz7mq-ue.a.run.app,infinity-x-swarm-00001-rg2,
memory-gateway,us-east1,https://memory-gateway-nsdj5qz7mq-ue.a.run.app,memory-gateway-00006-4qx,
orchestrator,us-east1,https://orchestrator-nsdj5qz7mq-ue.a.run.app,orchestrator-00001-cx2,
satellite-01,us-east1,https://satellite-01-nsdj5qz7mq-ue.a.run.app,satellite-01-00014-xzl,
browser,us-west1,,,
gpt-gateway,us-west1,https://gpt-gateway-nsdj5qz7mq-uw.a.run.app,gpt-gateway-00002-6xc,
harvester,us-west1,,,
hq,us-west1,,,
indexer,us-west1,https://indexer-nsdj5qz7mq-uw.a.run.app,indexer-00002-h2g,
ledger,us-west1,https://ledger-nsdj5qz7mq-uw.a.run.app,ledger-00002-nzj,
monitor,us-west1,https://monitor-nsdj5qz7mq-uw.a.run.app,monitor-00002-tg9,
notifier,us-west1,https://notifier-nsdj5qz7mq-uw.a.run.app,notifier-00002-f9r,
orchestrator,us-west1,https://orchestrator-nsdj5qz7mq-uw.a.run.app,orchestrator-00003-mnj,
scheduler,us-west1,https://scheduler-nsdj5qz7mq-uw.a.run.app,scheduler-00002-xt8,
wallet,us-west1,https://wallet-nsdj5qz7mq-uw.a.run.app,wallet-00002-tgh,
